index,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,New or Used Vehicle,Sale Date,Transaction Type,Transaction Date,Year,County,City,Postal Code
241,KNDC3DLC4P,225795405,2023,KIA,EV6,New,December 26 2022,Original Title,January 05 2023,2023,King,SEATTLE,98117.0
242,1N4AZ0CP8D,171856422,2013,NISSAN,Leaf,New,June 17 2013,Original Registration,June 27 2013,2013,King,SEATTLE,98117.0
244,KM8KMDAF2P,258766770,2023,HYUNDAI,Ioniq 5,New,,Original Registration,November 15 2023,2023,Clark,CAMAS,98607.0
248,7SAYGDEE0R,261958693,2024,TESLA,Model Y,New,January 24 2024,Original Title,February 21 2024,2024,King,RENTON,98055.0
258,7SAYGDEE3N,182802756,2022,TESLA,Model Y,New,November 18 2021,Original Title,December 15 2021,2021,King,SEATTLE,98119.0
259,5YJ3E1EB9L,107575989,2020,TESLA,Model 3,New,June 09 2020,Original Title,July 09 2020,2020,King,SEATTLE,98119.0
260,WBY1Z2C52E,102698228,2014,BMW,i3,New,April 07 2015,Original Title,May 04 2015,2015,King,SEATTLE,98119.0
277,YV4BR0DK0M,142604045,2021,VOLVO,XC60,New,,Original Registration,January 15 2021,2021,King,ISSAQUAH,98027.0
279,1FTVW1EL2P,264309545,2023,FORD,F-150,New,March 30 2024,Original Title,April 24 2024,2024,Clark,BATTLE GROUND,98604.0
281,3FMTK3SU5R,272006612,2024,FORD,Mustang Mach-E,New,August 21 2024,Original Title,August 21 2024,2024,King,RENTON,98057.0
283,3GPKHXRJ2R,271126061,2024,HONDA,Prologue,New,August 04 2024,Original Title,August 30 2024,2024,King,PACIFIC,98047.0
284,7SAYGDEE4N,198858838,2022,TESLA,Model Y,New,,Original Registration,May 26 2022,2022,King,SEATTLE,98109.0
286,3FMTK4SX2N,207482733,2022,FORD,Mustang Mach-E,New,April 27 2022,Original Title,June 15 2022,2022,Clark,LA CENTER,98629.0
295,5YJ3E1EB1M,168409678,2021,TESLA,Model 3,New,June 30 2021,Original Title,August 03 2021,2021,King,SAMMAMISH,98074.0
296,7SAYGDEE1P,236220736,2023,TESLA,Model Y,New,,Original Registration,May 09 2023,2023,King,SAMMAMISH,98074.0
300,5YJ3E1EA2J,185938070,2018,TESLA,Model 3,New,,Original Registration,August 08 2018,2018,Clallam,PORT ANGELES,98362.0
303,7SAYGDEDXP,260776113,2023,TESLA,Model Y,New,December 26 2023,Original Title,February 01 2024,2024,Island,OAK HARBOR,98277.0
305,KNDCC3LD0K,155982914,2019,KIA,Niro,New,June 09 2019,Original Title,July 05 2019,2019,Yakima,TOPPENISH,98948.0
313,1V2HMPE83P,262413679,2023,VOLKSWAGEN,ID.4,New,,Original Registration,March 01 2024,2024,Clark,VANCOUVER,98665.0
314,JA4J24A58K,135098750,2019,MITSUBISHI,Outlander,New,,Original Registration,December 22 2020,2020,Clark,VANCOUVER,98665.0
315,5YJ3E1EA4K,219270040,2019,TESLA,Model 3,New,,Original Registration,July 02 2019,2019,King,SEATTLE,98115.0
317,1FADP3R45E,251250653,2014,FORD,Focus,New,,Original Registration,November 07 2014,2014,Clark,CAMAS,98607.0
318,KM8K53AG8P,239518821,2023,HYUNDAI,Kona Electric,New,April 25 2023,Original Title,May 04 2023,2023,Thurston,OLYMPIA,98506.0
319,JN1AF0BA0P,251435271,2023,NISSAN,ARIYA,New,July 10 2023,Original Title,July 10 2023,2023,Yakima,YAKIMA,98901.0
327,7SAYGDEE9P,251907820,2023,TESLA,Model Y,New,,Original Registration,September 07 2023,2023,King,FEDERAL WAY,98023.0
335,WBY1Z4C56E,135993098,2014,BMW,i3,New,October 19 2014,Original Registration,November 06 2014,2014,Thurston,OLYMPIA,98501.0
341,5YJYGAEE3M,152447368,2021,TESLA,Model Y,New,April 17 2021,Original Title,May 11 2021,2021,King,KIRKLAND,98034.0
345,JTMABACA1R,265049837,2024,TOYOTA,bZ4X,New,,Original Registration,April 26 2024,2024,Clark,VANCOUVER,98686.0
348,5YJ3E1EA6L,132130120,2020,TESLA,Model 3,New,,Original Registration,December 01 2020,2020,Clark,VANCOUVER,98662.0
352,1G1FZ6S07N,216839969,2022,CHEVROLET,Bolt EUV,New,September 01 2022,Original Title,September 21 2022,2022,King,SEATTLE,98178.0
357,5YJ3E1EA0J,134038222,2018,TESLA,Model 3,New,August 04 2018,Original Title,August 29 2018,2018,King,BELLEVUE,98004.0
363,5YJSA1E22G,209853248,2016,TESLA,Model S,New,December 16 2016,Original Title,January 06 2017,2017,Clark,VANCOUVER,98664.0
367,5YJSA1CNXD,260856256,2013,TESLA,Model S,New,March 12 2013,Original Registration,March 28 2013,2013,King,SEATTLE,98115.0
378,5UXKT0C56H,156885900,2017,BMW,X5,New,December 03 2016,Original Title,January 03 2017,2017,King,SEATTLE,98119.0
379,5YJYGAEE9M,161661370,2021,TESLA,Model Y,New,June 22 2021,Original Title,July 24 2021,2021,Kitsap,BAINBRIDGE ISLAND,98110.0
380,5YJ3E1EB0R,267121879,2024,TESLA,Model 3,New,,Original Registration,August 01 2024,2024,Kitsap,BAINBRIDGE ISLAND,98110.0
382,YV4BR0CK0M,154981592,2021,VOLVO,XC90,New,May 13 2021,Original Title,June 03 2021,2021,King,KIRKLAND,98034.0
383,5YJ3E1EB5K,269658063,2019,TESLA,Model 3,New,March 24 2019,Original Title,April 18 2019,2019,King,KIRKLAND,98034.0
393,7FCTGBAA1R,268158670,2024,RIVIAN,R1T,New,May 24 2024,Original Title,July 23 2024,2024,King,BELLEVUE,98008.0
397,5YJXCBE23H,219240500,2017,TESLA,Model X,New,,Original Registration,October 18 2017,2017,King,SEATTLE,98112.0
399,5YJSA1E22J,475853822,2018,TESLA,Model S,New,September 14 2018,Original Title,October 05 2018,2018,King,SEATTLE,98112.0
405,KM8KNDAFXP,245096204,2023,HYUNDAI,Ioniq 5,New,June 29 2023,Original Title,July 06 2023,2023,King,AUBURN,98002.0
412,1N4AZ1CP0J,349645964,2018,NISSAN,Leaf,New,April 27 2018,Original Title,May 03 2018,2018,King,AUBURN,98002.0
416,5YJ3E1EB3N,194317161,2022,TESLA,Model 3,New,,Original Registration,March 24 2022,2022,King,SEATTLE,98102.0
420,5YJ3E1EA9P,229912833,2023,TESLA,Model 3,New,,Original Registration,March 07 2023,2023,King,SEATTLE,98102.0
432,5YJ3E1EB2J,451279958,2018,TESLA,Model 3,New,,Original Registration,December 18 2018,2018,Kitsap,BAINBRIDGE ISLAND,98110.0
434,5YJXCBE2XJ,314332658,2018,TESLA,Model X,New,June 20 2018,Original Title,June 28 2018,2018,Kitsap,BAINBRIDGE ISLAND,98110.0
435,5UXKT0C56G,4162721,2016,BMW,X5,New,February 27 2016,Original Title,March 29 2016,2016,Kitsap,BAINBRIDGE ISLAND,98110.0
443,1G1FX6S09H,347945615,2017,CHEVROLET,Bolt EV,New,September 08 2017,Original Title,September 18 2017,2017,Cowlitz,WOODLAND,98674.0
446,5YJ3E1EA8L,125909955,2020,TESLA,Model 3,New,September 17 2020,Original Title,October 07 2020,2020,Snohomish,SNOHOMISH,98290.0
462,KNDAEFS57R,265499874,2024,KIA,EV9,New,April 23 2024,Original Title,May 11 2024,2024,Clark,CAMAS,98607.0
464,5YJ3E1EB1N,211983880,2022,TESLA,Model 3,New,,Original Registration,September 07 2022,2022,King,SEATTLE,98104.0
465,5YJ3E1EA1P,220123116,2023,TESLA,Model 3,New,,Original Registration,November 17 2022,2022,King,SEATTLE,98104.0
467,KNDC3DLC7N,218300631,2022,KIA,EV6,New,September 07 2022,Original Title,September 14 2022,2022,King,SEATTLE,98104.0
469,5YJ3E1ECXN,207635333,2022,TESLA,Model 3,New,,Original Registration,August 02 2022,2022,King,SEATTLE,98104.0
470,JTMABABA9P,259055870,2023,SUBARU,Solterra,New,November 20 2023,Original Title,December 14 2023,2023,King,SEATTLE,98104.0
479,3MW39FS04P,255509243,2023,BMW,330e,New,September 09 2023,Original Title,September 28 2023,2023,King,SEATTLE,98104.0
484,5YJ3E1EB8P,221461488,2023,TESLA,Model 3,New,,Original Registration,December 14 2022,2022,King,SEATTLE,98104.0
486,5UXTA6C06N,203801580,2022,BMW,X5,New,April 21 2022,Original Title,May 31 2022,2022,King,SEATTLE,98104.0
490,7SAYGAEE8R,267698217,2024,TESLA,Model Y,New,,Original Registration,July 09 2024,2024,King,FEDERAL WAY,98023.0
491,7SAYGDEE5P,224562558,2023,TESLA,Model Y,New,,Original Registration,December 07 2022,2022,King,FEDERAL WAY,98023.0
495,1G1FW6S08H,350054512,2017,CHEVROLET,Bolt EV,New,,Original Registration,August 08 2017,2017,King,BELLEVUE,98004.0
496,5YJ3E1EB3M,180358223,2021,TESLA,Model 3,New,,Original Registration,November 18 2021,2021,King,BELLEVUE,98004.0
503,JTMFB3FV8N,219835668,2022,TOYOTA,RAV4 Prime,New,,Original Registration,November 16 2022,2022,King,BELLEVUE,98004.0
504,7SAYGDEE4R,269835611,2024,TESLA,Model Y,New,August 17 2024,Original Title,September 12 2024,2024,King,BELLEVUE,98004.0
508,7SAYGAEE6N,207827532,2022,TESLA,Model Y,New,June 27 2022,Original Title,August 02 2022,2022,Kitsap,POULSBO,98370.0
516,5YJSA1AG9D,130393007,2013,TESLA,Model S,New,February 15 2013,Original Registration,February 28 2013,2013,King,SEATTLE,98122.0
517,5YJSA1E25L,127435843,2020,TESLA,Model S,New,September 28 2020,Original Title,November 02 2020,2020,King,MEDINA,98039.0
519,KNDCT3L13R,264430995,2024,KIA,Niro,New,March 10 2024,Original Title,March 26 2024,2024,King,SEATTLE,98125.0
524,7SAXCBE63R,269524069,2024,TESLA,Model X,New,June 29 2024,Original Title,August 01 2024,2024,Clark,CAMAS,98607.0
526,1FT6W1EV4P,267060678,2023,FORD,F-150,New,,Original Registration,July 12 2024,2024,Kitsap,BAINBRIDGE ISLAND,98110.0
529,1C4JJXR60M,176371590,2021,JEEP,Wrangler,New,,Original Registration,September 30 2021,2021,King,BELLEVUE,98004.0
534,7SAYGDEFXR,267131182,2024,TESLA,Model Y,New,June 14 2024,Original Title,July 17 2024,2024,King,BELLEVUE,98004.0
535,WBY33AW09R,271913687,2024,BMW,i4,New,August 25 2024,Original Title,September 17 2024,2024,King,BELLEVUE,98004.0
537,7SAYGDEE1N,220141960,2022,TESLA,Model Y,New,October 28 2022,Original Title,November 17 2022,2022,King,SAMMAMISH,98075.0
538,WBY33AW06P,225763793,2023,BMW,i4,New,December 11 2022,Original Title,January 17 2023,2023,King,SEATTLE,98112.0
539,5UXTA6C01N,198243181,2022,BMW,X5,New,March 25 2022,Original Title,April 14 2022,2022,King,SEATTLE,98112.0
544,JTMCB3FV5R,270108380,2024,TOYOTA,RAV4 Prime,New,,Original Registration,July 25 2024,2024,Island,COUPEVILLE,98239.0
546,5YJ3E1EB5P,244394307,2023,TESLA,Model 3,New,June 21 2023,Original Title,July 19 2023,2023,King,DES MOINES,98198.0
547,3FMTK2SU7P,256169091,2023,FORD,Mustang Mach-E,New,October 22 2023,Original Title,November 22 2023,2023,King,SEATTLE,98102.0
549,W1N9M0KB0R,267162542,2024,MERCEDES-BENZ,EQB-Class,New,,Original Registration,July 11 2024,2024,King,KIRKLAND,98034.0
550,5YJ3E1EB6L,104299002,2020,TESLA,Model 3,New,,Original Registration,April 09 2020,2020,Kitsap,BAINBRIDGE ISLAND,98110.0
551,1C4JJXR62P,245465118,2023,JEEP,Wrangler,New,July 12 2023,Original Title,August 25 2023,2023,Kitsap,PORT ORCHARD,98367.0
554,1N4AZ1CP0K,185324653,2019,NISSAN,Leaf,New,May 30 2019,Original Title,June 14 2019,2019,King,SEATTLE,98112.0
555,1N4BZ0CP8G,163811231,2016,NISSAN,Leaf,New,June 25 2016,Original Registration,August 01 2016,2016,King,SEATTLE,98112.0
556,JN1AF0BA5R,266967333,2024,NISSAN,ARIYA,New,,Original Registration,May 16 2024,2024,King,SEATTLE,98112.0
557,1N4BZ1BV3N,205879663,2022,NISSAN,Leaf,New,,Original Registration,July 14 2022,2022,King,SEATTLE,98112.0
558,7SAYGDEF7P,252435277,2023,TESLA,Model Y,New,,Original Registration,September 27 2023,2023,King,KIRKLAND,98033.0
560,1G1RB6S54J,152549372,2018,CHEVROLET,Volt,New,,Original Registration,December 04 2018,2018,King,KIRKLAND,98033.0
575,5YJ3E1EA7P,249980944,2023,TESLA,Model 3,New,June 15 2023,Original Title,July 13 2023,2023,Snohomish,BOTHELL,98021.0
580,7SAYGDEE8N,192466011,2022,TESLA,Model Y,New,,Original Registration,February 23 2022,2022,King,SEATTLE,98112.0
595,WMWXP3C08L,104413354,2020,MINI,Hardtop,New,,Original Registration,April 07 2020,2020,King,SEATTLE,98112.0
607,1G1RA6E43C,161931213,2012,CHEVROLET,Volt,New,November 28 2011,Original Title,December 09 2011,2011,King,FEDERAL WAY,98003.0
608,7SAYGDEF6N,192456162,2022,TESLA,Model Y,New,January 21 2022,Original Title,February 10 2022,2022,King,SEATTLE,98108.0
611,7FCTGAAA3P,252000192,2023,RIVIAN,R1T,New,,Original Registration,September 05 2023,2023,Kitsap,BAINBRIDGE ISLAND,98110.0
612,WMW13DJ0XR,265404324,2024,MINI,Hardtop,New,,Original Registration,May 07 2024,2024,Kitsap,BAINBRIDGE ISLAND,98110.0
613,7PDSGCBA5R,264510795,2024,RIVIAN,R1S,New,,Original Registration,March 26 2024,2024,King,BELLEVUE,98004.0
614,JTDKARFP5H,259165189,2017,TOYOTA,Prius Prime,New,December 19 2016,Original Title,January 10 2017,2017,King,BOTHELL,98011.0
618,5YJ3E1EB2R,273425981,2024,TESLA,Model 3,New,September 04 2024,Original Title,September 26 2024,2024,King,SEATTLE,98178.0
619,3FMTK3SU2M,192603834,2021,FORD,Mustang Mach-E,New,,Original Registration,February 03 2022,2022,King,SEATTLE,98178.0
620,7FCTGAAL5N,210000143,2022,RIVIAN,R1T,New,April 15 2022,Original Title,July 28 2022,2022,Kitsap,BAINBRIDGE ISLAND,98110.0
625,JTDKARFP5J,250438415,2018,TOYOTA,Prius Prime,New,,Original Registration,July 10 2018,2018,Kitsap,SILVERDALE,98383.0
632,7SAXCDE58R,267768665,2024,TESLA,Model X,New,,Original Registration,July 09 2024,2024,Snohomish,MUKILTEO,98275.0
636,7SAYGDEF4R,267210555,2024,TESLA,Model Y,New,,Original Registration,July 19 2024,2024,King,BELLEVUE,98004.0
637,7FCTGAAA5N,219175743,2022,RIVIAN,R1T,New,August 24 2022,Original Title,November 08 2022,2022,King,BELLEVUE,98004.0
638,7SAYGDEF3R,261622399,2024,TESLA,Model Y,New,March 15 2024,Original Title,April 05 2024,2024,Kitsap,KINGSTON,98346.0
639,1V2GNPE88P,229757622,2023,VOLKSWAGEN,ID.4,New,,Original Registration,February 24 2023,2023,King,RENTON,98055.0
641,7SAYGDEF6P,240373752,2023,TESLA,Model Y,New,,Original Registration,June 07 2023,2023,King,KIRKLAND,98033.0
642,7SAYGDEE4P,258535644,2023,TESLA,Model Y,New,,Original Registration,December 14 2023,2023,Kitsap,BAINBRIDGE ISLAND,98110.0
644,7SAYGAEE5P,255086793,2023,TESLA,Model Y,New,,Original Registration,October 26 2023,2023,King,BELLEVUE,98007.0
646,3FMTK3RM8P,245465503,2023,FORD,Mustang Mach-E,New,June 28 2023,Original Title,July 20 2023,2023,King,ISSAQUAH,98027.0
651,1C4RJYB66P,257686166,2023,JEEP,Grand Cherokee,New,,Original Registration,November 15 2023,2023,King,KIRKLAND,98033.0
653,1V2BMPE89R,269951090,2024,VOLKSWAGEN,ID.4,New,August 04 2024,Original Title,August 30 2024,2024,Clark,VANCOUVER,98664.0
658,7SAYGAEE1P,229741998,2023,TESLA,Model Y,New,February 01 2023,Original Title,March 01 2023,2023,King,AUBURN,98092.0
664,5YJ3E1EA8M,171295561,2021,TESLA,Model 3,New,August 06 2021,Original Title,August 27 2021,2021,Thurston,OLYMPIA,98501.0
670,YV4ED3GK2P,260986393,2023,VOLVO,C40,New,,Original Registration,February 12 2024,2024,King,KIRKLAND,98033.0
672,1N4AZ1CP9K,341674217,2019,NISSAN,Leaf,New,July 26 2019,Original Title,July 31 2019,2019,Kitsap,BAINBRIDGE ISLAND,98110.0
673,5YJYGDEE8M,170236405,2021,TESLA,Model Y,New,,Original Registration,August 17 2021,2021,Thurston,OLYMPIA,98513.0
676,5YJ3E1EA2P,233957566,2023,TESLA,Model 3,New,March 08 2023,Original Title,April 06 2023,2023,King,BELLEVUE,98004.0
678,5YJSA1E57P,257456132,2023,TESLA,Model S,New,,Original Registration,October 31 2023,2023,King,BELLEVUE,98005.0
679,5YJSA1E20J,224785466,2018,TESLA,Model S,New,August 23 2018,Original Title,September 05 2018,2018,King,SEATTLE,98122.0
693,5TDACAC66R,263135764,2024,LEXUS,TX,New,March 13 2024,Original Title,April 01 2024,2024,King,BELLEVUE,98006.0
695,3MW5P9J05M,168757025,2021,BMW,330e,New,,Original Registration,July 28 2021,2021,Yakima,NACHES,98937.0
699,KM8KM4AE6N,195054030,2022,HYUNDAI,Ioniq 5,New,March 16 2022,Original Title,March 18 2022,2022,Clark,VANCOUVER,98663.0
701,JTMEB3FV3R,267297719,2024,TOYOTA,RAV4 Prime,New,,Original Registration,July 22 2024,2024,Clark,VANCOUVER,98663.0
711,5YJ3E1EA1J,181768072,2018,TESLA,Model 3,New,,Original Registration,April 05 2018,2018,King,SEATTLE,98109.0
714,5YJ3E1EB1P,249770615,2023,TESLA,Model 3,New,July 22 2023,Original Title,August 17 2023,2023,Yakima,YAKIMA,98908.0
716,1FADP5CU8G,161255076,2016,FORD,C-Max,New,,Original Registration,August 10 2016,2016,Clark,VANCOUVER,98685.0
719,KNDJP3AE9G,132238795,2016,KIA,Soul,New,June 18 2016,Original Title,July 12 2016,2016,King,SEATTLE,98115.0
732,YSMFD3KA3R,257191021,2024,POLESTAR,PS2,New,,Original Registration,September 26 2023,2023,King,SEATTLE,98107.0
735,1N4AZ1BV0R,257017484,2024,NISSAN,Leaf,New,September 06 2023,Original Title,October 04 2023,2023,King,SEATTLE,98177.0
737,JTMCB3FV2P,253391190,2023,TOYOTA,RAV4 Prime,New,August 23 2023,Original Title,September 14 2023,2023,King,KIRKLAND,98034.0
739,5YJ3E1ET0R,267127430,2024,TESLA,Model 3,New,June 07 2024,Original Title,July 12 2024,2024,King,BOTHELL,98011.0
760,1G1FW6S08N,220556528,2022,CHEVROLET,Bolt EV,New,September 23 2022,Original Title,October 19 2022,2022,King,KENT,98031.0
761,7SAYGDEF1N,217310516,2022,TESLA,Model Y,New,,Original Registration,October 28 2022,2022,King,KENT,98031.0
771,5YJYGDEE1M,171309225,2021,TESLA,Model Y,New,,Original Registration,August 25 2021,2021,King,SEATTLE,98146.0
773,5YJ3E1ET7R,269423598,2024,TESLA,Model 3,New,July 24 2024,Original Title,August 20 2024,2024,King,KIRKLAND,98033.0
775,5YJYGDEE6M,175472629,2021,TESLA,Model Y,New,,Original Registration,September 29 2021,2021,King,KIRKLAND,98033.0
779,7SAYGAEE7P,257048053,2023,TESLA,Model Y,New,September 29 2023,Original Title,November 07 2023,2023,King,BELLEVUE,98004.0
783,5YJ3E1EA9L,8807690,2020,TESLA,Model 3,New,December 18 2019,Original Title,January 10 2020,2020,King,KENT,98030.0
789,5YJ3E1EB8K,196673494,2019,TESLA,Model 3,New,,Original Registration,May 21 2019,2019,King,KENT,98030.0
796,KMHM34ACXP,245777318,2023,HYUNDAI,Ioniq 6,New,,Original Registration,July 25 2023,2023,King,KENT,98030.0
798,WVGTMPE23N,228788507,2022,VOLKSWAGEN,ID.4,New,,Original Registration,January 27 2023,2023,King,KENT,98030.0
801,5NMMCET18R,262414477,2024,GENESIS,GV70,New,February 27 2024,Original Title,March 08 2024,2024,King,KIRKLAND,98033.0
802,KNDCE3LGXK,335780308,2019,KIA,Niro,New,,Original Registration,October 29 2019,2019,King,KIRKLAND,98033.0
808,3FMTK3SU5P,260384008,2023,FORD,Mustang Mach-E,New,,Original Registration,January 16 2024,2024,King,SEATTLE,98177.0
809,WA1F2AFY5L,104306660,2020,AUDI,Q5 e,New,March 07 2020,Original Title,March 19 2020,2020,King,SEATTLE,98177.0
812,KM8JFDD29R,262754348,2024,HYUNDAI,Tucson,New,February 01 2024,Original Title,March 05 2024,2024,King,BELLEVUE,98004.0
813,KM8KNDAF4P,245652291,2023,HYUNDAI,Ioniq 5,New,,Original Registration,July 24 2023,2023,Kitsap,BAINBRIDGE ISLAND,98110.0
821,5YJ3E1EB6K,474790578,2019,TESLA,Model 3,New,,Original Registration,February 21 2019,2019,King,BELLEVUE,98004.0
827,3FA6P0PU5G,199800751,2016,FORD,Fusion,New,August 06 2016,Original Title,August 23 2016,2016,King,SEATTLE,98146.0
833,1N4AZ1CP7J,301796561,2018,NISSAN,Leaf,New,,Original Registration,May 31 2018,2018,King,SEATTLE,98146.0
844,7PDSGBBA5P,261837467,2023,RIVIAN,R1S,New,February 15 2024,Original Title,June 03 2024,2024,Kitsap,BAINBRIDGE ISLAND,98110.0
845,5YJYGDEF8L,102888306,2020,TESLA,Model Y,New,,Original Registration,April 14 2020,2020,Kitsap,BAINBRIDGE ISLAND,98110.0
858,5YJSA1H19E,196407368,2014,TESLA,Model S,New,June 29 2014,Original Registration,July 15 2014,2014,King,BELLEVUE,98005.0
863,5YJ3E1EA3J,292806188,2018,TESLA,Model 3,New,May 23 2018,Original Title,June 06 2018,2018,King,KIRKLAND,98033.0
871,3FA6P0SU6K,319561063,2019,FORD,Fusion,New,December 07 2019,Original Title,January 16 2020,2020,King,AUBURN,98002.0
872,3FMTK3SS8P,241366772,2023,FORD,Mustang Mach-E,New,May 26 2023,Original Title,June 20 2023,2023,King,AUBURN,98002.0
878,3FA6P0PU4H,9336673,2017,FORD,Fusion,New,,Original Registration,January 19 2017,2017,King,AUBURN,98002.0
882,5YJXCAE26M,138270121,2021,TESLA,Model X,New,December 12 2020,Original Title,January 07 2021,2021,King,BELLEVUE,98004.0
885,5YJSA1E6XM,183426218,2021,TESLA,Model S,New,November 05 2021,Original Title,December 07 2021,2021,King,KIRKLAND,98033.0
893,1G1FX6S03H,139723335,2017,CHEVROLET,Bolt EV,New,September 04 2017,Original Title,September 18 2017,2017,King,SEATTLE,98103.0
